datetime,put_orders,put_orders_b,put_orders_s,put_vol,put_vol_b,put_vol_s,put_val,put_val_b,put_val_s,cancel_orders,cancel_orders_b,cancel_orders_s,cancel_vol,cancel_vol_b,cancel_vol_s,cancel_val,cancel_val_b,cancel_val_s,put_vwap_b,put_vwap_s,cancel_vwap_b,cancel_vwap_s
2023-08-18 10:00,648,218,430,19330,5938,13392,22381413.0,6258996.0,16122417.0,153,122,31,4981,3417,1564,5550979.0,3754564.0,1796414.0,105.41,120.39,109.88,114.86
2023-08-18 10:05,392,333,59,7099,4542,2557,7546665.0,4914901.0,2631763.0,282,257,25,3509,2741,768,3790113.0,2942222.0,847890.0,108.21,102.92,107.34,110.4
2023-08-18 10:10,169,89,80,6634,4370,2264,7303116.0,4846606.0,2456509.0,72,29,43,1982,1312,670,2161651.0,1408903.0,752748.0,110.91,108.5,107.39,112.35
2023-08-18 10:15,89,56,33,2267,1298,969,2359350.0,1416401.0,942948.0,36,27,9,1450,1384,66,1568244.0,1494980.0,73263.0,109.12,97.31,108.02,111.01
2023-08-18 10:20,169,118,51,3794,2435,1359,3987341.0,2605891.0,1381450.0,85,76,9,2144,1754,390,2299003.0,1868863.0,430139.0,107.02,101.65,106.55,110.29
2023-08-18 10:25,361,128,233,10136,3007,7129,11001264.0,3255773.0,7745491.0,245,64,181,7682,1956,5726,8421616.0,2097856.0,6323759.0,108.27,108.65,107.25,110.44
2023-08-18 10:30,463,393,70,8842,8035,807,9733924.0,8808013.0,925911.0,252,242,10,7099,6872,227,7712494.0,7460046.0,252447.0,109.62,114.73,108.56,111.21
2023-08-18 10:35,521,502,19,10273,9889,384,11229838.0,10790873.0,438965.0,530,494,36,10439,10363,76,11379584.0,11288641.0,90942.0,109.12,114.31,108.93,119.66
2023-08-18 10:40,335,273,62,4843,3691,1152,5293753.0,4021280.0,1272473.0,274,260,14,4190,3651,539,4569410.0,3976086.0,593323.0,108.95,110.46,108.9,110.08
2023-08-18 10:45,58,38,20,1303,517,786,1483889.0,555930.0,927959.0,21,15,6,393,358,35,421292.0,382533.0,38759.0,107.53,118.06,106.85,110.74
2023-08-18 10:50,94,61,33,2358,1101,1257,2558731.0,1172843.0,1385887.0,45,30,15,1450,793,657,1562813.0,847792.0,715021.0,106.53,110.25,106.91,108.83
