datetime,pr_open,pr_high,pr_low,pr_close,pr_change,trades,vol,val,pr_std,disb,pr_vwap,trades_b,vol_b,val_b,pr_vwap_b,trades_s,vol_s,val_s,pr_vwap_s
2023-08-17 10:00,110.66,111.04,109.32,110.72,0.0542,104,2075,2299432.0,0.0017,0.25,110.82,55,1301,1443202.0,110.93,49,774,856230.0,110.62
2023-08-17 10:05,110.68,110.9,110.36,110.54,-0.1265,62,765,846955.0,0.0009,0.16,110.71,33,443,490930.0,110.82,29,322,356024.0,110.57
2023-08-17 10:10,110.5,110.52,109.78,109.8,-0.6335,74,1784,1963702.0,0.0004,-0.88,110.07,20,108,118924.0,110.12,54,1676,1844777.0,110.07
2023-08-17 10:15,109.64,109.88,108.56,109.56,-0.073,168,2121,2313214.0,0.001,-0.51,109.06,58,515,562339.0,109.19,110,1606,1750874.0,109.02
2023-08-17 10:20,109.5,109.5,109.28,109.48,-0.0183,22,58,63459.0,0.0005,0.55,109.41,20,45,49231.0,109.4,2,13,14228.0,109.45
2023-08-17 10:25,109.46,109.64,109.4,109.4,-0.0548,21,250,273768.0,0.0005,-0.26,109.51,16,92,100801.0,109.57,5,158,172966.0,109.47
2023-08-17 10:30,109.58,109.62,109.36,109.56,-0.0183,27,330,361273.0,0.0008,0.41,109.48,16,233,255018.0,109.45,11,97,106254.0,109.54
2023-08-17 10:35,109.58,109.84,109.58,109.84,0.2373,52,908,996675.0,0.0004,0.65,109.77,44,747,819909.0,109.76,8,161,176766.0,109.79
2023-08-17 10:40,109.82,109.92,109.64,109.88,0.0546,39,403,442683.0,0.0006,0.48,109.85,28,299,328491.0,109.86,11,104,114192.0,109.8
2023-08-17 10:45,109.92,110.36,109.88,110.26,0.3093,44,527,580187.0,0.0004,0.96,110.09,40,516,568091.0,110.1,4,11,12095.0,109.96
2023-08-17 10:50,110.26,110.4,110.1,110.4,0.127,34,324,357458.0,0.0004,0.18,110.33,21,191,210757.0,110.34,13,133,146700.0,110.3
2023-08-17 10:55,110.4,110.4,110.16,110.4,0.0,40,736,811962.0,0.0003,-0.4,110.32,18,220,242809.0,110.37,22,516,569153.0,110.3
2023-08-17 11:00,110.4,111.48,110.4,110.76,0.3261,144,2907,3222531.0,0.0005,0.68,110.85,109,2445,2709749.0,110.83,35,462,512781.0,110.99
2023-08-17 11:05,111.0,111.24,110.84,111.24,0.2162,44,195,216588.0,0.0006,0.58,111.07,34,154,171105.0,111.11,10,41,45483.0,110.93
2023-08-17 11:10,111.22,111.3,110.84,111.18,-0.036,31,438,487019.0,0.001,-0.68,111.19,16,69,76756.0,111.24,15,369,410263.0,111.18
2023-08-17 11:15,110.96,111.38,110.9,111.38,0.3785,44,626,695412.0,0.0005,0.12,111.09,30,352,391246.0,111.15,14,274,304165.0,111.01
2023-08-17 11:20,111.32,111.48,111.2,111.2,-0.1078,40,917,1021110.0,0.0005,-0.75,111.35,19,115,128158.0,111.44,21,802,892951.0,111.34
2023-08-17 11:25,111.16,111.42,110.9,111.3,0.1259,36,494,548908.0,0.0007,-0.15,111.12,15,211,234437.0,111.11,21,283,314470.0,111.12
2023-08-17 11:30,111.1,111.24,110.96,111.24,0.126,17,243,269869.0,0.001,0.73,111.06,10,210,233213.0,111.05,7,33,36655.0,111.08
2023-08-17 11:35,111.28,111.3,111.08,111.08,-0.1797,10,89,98875.0,0.0003,0.82,111.1,5,81,89984.0,111.09,5,8,8891.0,111.14
2023-08-17 11:40,111.28,111.28,111.08,111.08,-0.1797,6,20,22236.0,0.0014,0.0,111.18,2,10,11128.0,111.28,4,10,11108.0,111.09
2023-08-17 11:45,111.06,111.26,111.06,111.26,0.1801,10,34,37822.0,0.001,0.59,111.24,4,27,30040.0,111.26,6,7,7782.0,111.18
2023-08-17 11:50,111.26,111.5,111.1,111.5,0.2157,52,483,537954.0,0.0006,0.5,111.38,45,363,404465.0,111.42,7,120,133489.0,111.24
2023-08-17 11:55,111.5,111.58,111.3,111.46,-0.0359,12,163,181766.0,0.0008,0.74,111.51,8,142,158391.0,111.54,4,21,23374.0,111.31
2023-08-17 12:00,111.32,111.68,111.24,111.52,0.1797,65,419,467211.0,0.0004,-0.42,111.51,28,121,134948.0,111.53,37,298,332262.0,111.5
2023-08-17 12:05,111.52,111.56,111.52,111.54,0.0179,23,125,139428.0,0.0002,0.18,111.54,9,74,82553.0,111.56,14,51,56875.0,111.52
2023-08-17 12:10,111.54,111.54,111.2,111.46,-0.0717,15,851,948996.0,0.001,-0.92,111.52,5,35,39033.0,111.52,10,816,909963.0,111.52
2023-08-17 12:15,111.26,111.26,111.08,111.08,-0.1618,12,46,51161.0,0.0003,-0.7,111.22,2,7,7787.0,111.25,10,39,43374.0,111.22
2023-08-17 12:20,111.1,111.1,110.5,110.8,-0.27,65,744,823698.0,0.0005,-0.87,110.71,7,47,52087.0,110.82,58,697,771610.0,110.7
2023-08-17 12:25,110.64,110.7,109.04,109.62,-0.9219,142,1576,1733536.0,0.0012,-0.86,110.0,15,109,119994.0,110.09,127,1467,1613542.0,109.99
2023-08-17 12:30,109.78,109.96,109.56,109.8,0.0182,30,215,235962.0,0.0006,0.52,109.75,19,163,178942.0,109.78,11,52,57020.0,109.65
2023-08-17 12:35,109.62,109.62,109.3,109.3,-0.2919,33,275,301068.0,0.0003,-0.62,109.48,3,52,56941.0,109.5,30,223,244127.0,109.47
2023-08-17 12:40,109.3,109.4,109.18,109.34,0.0366,44,512,559659.0,0.0004,0.09,109.31,18,279,305030.0,109.33,26,233,254628.0,109.28
2023-08-17 12:45,109.34,109.52,109.2,109.44,0.0915,18,221,241659.0,0.0007,-0.09,109.35,7,101,110413.0,109.32,11,120,131246.0,109.37
2023-08-17 12:50,109.28,109.48,109.0,109.04,-0.2196,76,1187,1295000.0,0.0006,-0.93,109.1,10,44,48119.0,109.36,66,1143,1246881.0,109.09
2023-08-17 12:55,109.06,109.38,109.0,109.34,0.2567,33,410,447161.0,0.0006,-0.74,109.06,11,54,59026.0,109.31,22,356,388134.0,109.03
2023-08-17 13:00,109.2,109.28,109.02,109.02,-0.1648,31,153,166896.0,0.0006,-0.5,109.08,7,38,41474.0,109.14,24,115,125421.0,109.06
2023-08-17 13:05,109.24,109.52,109.24,109.46,0.2014,28,85,92939.0,0.0005,0.95,109.34,27,83,90752.0,109.34,1,2,2186.0,109.32
2023-08-17 13:10,109.32,109.58,109.22,109.58,0.2378,43,276,301917.0,0.0004,-0.17,109.39,24,114,124817.0,109.49,19,162,177100.0,109.32
2023-08-17 13:15,109.54,110.14,109.46,110.14,0.5477,79,1111,1221474.0,0.0003,0.99,109.94,76,1108,1218188.0,109.94,3,3,3285.0,109.51
2023-08-17 13:20,110.0,110.14,109.22,109.9,-0.0909,31,379,416046.0,0.0015,-0.61,109.77,7,73,80307.0,110.01,24,306,335739.0,109.72
2023-08-17 13:25,109.44,110.06,109.44,110.06,0.5665,18,87,95580.0,0.0006,0.86,109.86,17,81,89014.0,109.89,1,6,6566.0,109.44
2023-08-17 13:30,110.06,110.4,110.06,110.16,0.0909,17,155,170770.0,0.0005,0.79,110.17,14,139,153141.0,110.17,3,16,17629.0,110.18
2023-08-17 13:35,110.26,110.3,110.06,110.06,-0.1814,9,35,38563.0,0.0006,-0.2,110.18,3,14,15437.0,110.27,6,21,23126.0,110.12
2023-08-17 13:40,110.08,110.08,109.04,109.7,-0.3452,75,1194,1306874.0,0.001,-0.89,109.45,11,65,71311.0,109.71,64,1129,1235563.0,109.44
2023-08-17 13:45,109.62,110.7,109.62,110.42,0.7298,53,1065,1173504.0,0.0004,0.95,110.19,48,1038,1143697.0,110.18,5,27,29807.0,110.4
2023-08-17 13:50,110.36,110.36,110.36,110.36,0.0,4,25,27590.0,0.0,-0.6,110.36,2,5,5518.0,110.36,2,20,22072.0,110.36
2023-08-17 13:55,110.22,110.3,109.74,110.02,-0.1815,29,588,647051.0,0.0006,0.08,110.04,11,318,349912.0,110.04,18,270,297139.0,110.05
2023-08-17 14:00,109.9,110.34,109.9,110.34,0.4004,13,149,163955.0,0.001,0.93,110.04,10,144,158454.0,110.04,3,5,5501.0,110.04
2023-08-17 14:05,110.34,110.36,110.16,110.34,0.0,19,160,176444.0,0.0009,-0.06,110.28,9,75,82687.0,110.25,10,85,93757.0,110.3
2023-08-17 14:10,110.34,110.36,110.16,110.16,-0.1631,8,172,189594.0,0.0006,0.95,110.23,5,168,185187.0,110.23,3,4,4406.0,110.17
2023-08-17 14:15,110.16,110.34,110.14,110.34,0.1634,8,13,14321.0,0.0007,-0.23,110.17,2,5,5509.0,110.2,6,8,8812.0,110.15
2023-08-17 14:20,110.34,110.34,110.34,110.34,0.0,1,2,2206.0,,1.0,110.34,1,2,2206.0,110.34,0,0,0.0,
2023-08-17 14:25,110.36,110.36,110.26,110.26,-0.0906,3,5,5514.0,0.0004,-0.6,110.28,1,1,1103.0,110.36,2,4,4410.0,110.27
2023-08-17 14:30,110.34,110.36,110.34,110.36,0.0181,2,2,2207.0,,1.0,110.35,2,2,2207.0,110.35,0,0,0.0,
2023-08-17 14:35,110.34,110.42,110.34,110.42,0.0725,6,61,67328.0,0.0002,1.0,110.37,6,61,67328.0,110.37,0,0,0.0,
2023-08-17 14:40,110.48,110.6,110.48,110.56,0.0724,10,53,58595.0,0.0003,0.06,110.56,8,28,30955.0,110.56,2,25,27640.0,110.56
