datetime,spread_bbo,spread_lv10,spread_1mio,levels_b,levels_s,vol_b,vol_s,val_b,val_s,imbalance_vol_bbo,imbalance_val_bbo,imbalance_vol,imbalance_val,vwap_b,vwap_s,vwap_b_1mio,vwap_s_1mio
2023-03-29 10:00,12.4,272.6,183.9,133,87,11782,18514,6493273,11202631,-0.32,-0.32,-0.23,-0.27,0.5505,0.6051,0.5779,0.5886
2023-03-29 10:05,79.8,269.7,186.3,129,92,18643,22572,10407823,13628315,-0.06,-0.06,-0.09,-0.13,0.5582,0.6038,0.577,0.5878
2023-03-29 10:10,41.1,195.6,160.9,134,100,20454,21216,11419083,12849729,0.08,0.08,-0.02,-0.06,0.5583,0.6057,0.5773,0.5866
2023-03-29 10:15,22.8,163.5,109.1,142,104,21738,21577,12135037,13106423,-0.51,-0.51,0.0,-0.04,0.5582,0.6074,0.5775,0.5838
2023-03-29 10:20,19.9,198.5,77.7,146,103,20563,23304,11455739,14111654,-0.73,-0.73,-0.06,-0.1,0.5571,0.6056,0.5768,0.5813
2023-03-29 10:25,9.7,185.6,66.1,148,104,16528,25072,9133138,15154043,-0.39,-0.39,-0.21,-0.26,0.5516,0.6044,0.577,0.5808
2023-03-29 10:30,8.8,189.3,29.6,149,106,13823,24305,7576953,14673119,-0.71,-0.71,-0.27,-0.32,0.5479,0.6038,0.5767,0.5784
2023-03-29 10:35,18.8,206.6,44.7,150,107,14771,22581,8116575,13653467,-0.6,-0.6,-0.21,-0.25,0.5494,0.6047,0.5757,0.5782
2023-03-29 10:40,31.0,190.5,51.6,148,111,13994,22530,7669065,13622186,-0.48,-0.48,-0.24,-0.28,0.5476,0.6046,0.5751,0.5781
2023-03-29 10:45,15.5,154.6,56.3,151,113,13398,22032,7319452,13330994,-0.09,-0.1,-0.24,-0.29,0.5462,0.6051,0.575,0.5782
2023-03-29 10:50,16.7,157.6,60.0,153,118,14757,22114,8075634,13377918,-0.05,-0.05,-0.2,-0.25,0.5472,0.6049,0.5748,0.5782
2023-03-29 10:55,22.5,187.3,59.7,154,114,15437,21396,8464696,12954980,-0.82,-0.82,-0.16,-0.21,0.5483,0.6055,0.5749,0.5783
2023-03-29 11:00,23.9,185.3,60.2,155,114,16126,21312,8858917,12911324,-0.83,-0.83,-0.14,-0.19,0.5493,0.6058,0.575,0.5785
2023-03-29 11:05,25.0,154.9,60.1,155,116,15935,21664,8744723,13117915,-0.27,-0.27,-0.15,-0.2,0.5488,0.6055,0.575,0.5784
2023-03-29 11:10,11.3,133.0,49.8,159,118,16169,21809,8874926,13202708,-0.61,-0.61,-0.15,-0.2,0.5489,0.6054,0.575,0.5778
2023-03-29 11:15,19.8,143.9,49.6,158,119,18119,21436,9986098,12985174,-0.77,-0.77,-0.09,-0.13,0.5509,0.6057,0.575,0.5779
2023-03-29 11:20,17.4,116.9,47.8,159,122,20127,21559,11130156,13055444,-0.18,-0.19,-0.03,-0.08,0.553,0.6056,0.575,0.5778
2023-03-29 11:25,6.9,101.8,43.8,162,123,20310,22874,11238810,13844843,-0.76,-0.76,-0.06,-0.1,0.5533,0.6053,0.5751,0.5776
2023-03-29 11:30,5.8,99.1,43.8,163,123,20330,23515,11247066,14230329,-0.88,-0.88,-0.07,-0.12,0.5532,0.6051,0.575,0.5775
2023-03-29 11:35,8.2,102.3,44.2,163,125,20636,23497,11422088,14220262,-0.95,-0.95,-0.06,-0.11,0.5535,0.6052,0.5751,0.5776
2023-03-29 11:40,8.7,102.1,50.8,164,124,20802,22069,11517018,13369119,-0.8,-0.8,-0.03,-0.07,0.5536,0.6058,0.5751,0.578
2023-03-29 11:45,8.0,93.2,54.9,165,125,21055,20666,11659573,12533489,-0.05,-0.05,0.01,-0.04,0.5538,0.6065,0.5751,0.5782
2023-03-29 11:50,11.6,112.6,94.6,164,123,18537,20724,10213866,12568139,0.01,0.01,-0.06,-0.1,0.5509,0.6064,0.573,0.5784
2023-03-29 11:55,11.8,119.0,92.3,167,124,18299,21926,10077314,13285363,-0.79,-0.79,-0.09,-0.14,0.5507,0.6059,0.573,0.5783
2023-03-29 12:00,9.3,108.2,78.6,168,124,18532,23597,10213599,14283105,-0.6,-0.6,-0.12,-0.17,0.5511,0.6053,0.5735,0.578
2023-03-29 12:05,19.5,105.9,55.5,169,127,18942,23751,10449678,14371767,-0.1,-0.1,-0.11,-0.16,0.5517,0.6051,0.5749,0.5781
2023-03-29 12:10,16.3,100.9,50.8,169,128,19077,23812,10535279,14407350,-0.46,-0.46,-0.11,-0.16,0.5522,0.605,0.5751,0.578
