id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;ИнтерРАОао;IRAO;16.74%;4.237;+0.19%;63.02;442.55;+48%
2;Россети;FEES;14.89%;0.11642;-1.32%;190.86;245.41;+691%
3;+МосЭнерго;MSNG;11.48%;3.05;+0.54%;10.19;121.47;+17%
4;Юнипро ао;UPRO;10.46%;2.145;-1.33%;92.73;136.06;+154%
5;РусГидро;HYDR;9.41%;0.8127;+2.41%;176.24;360.28;+696%
6;РСетиЛЭ-п;LSNG;7.46%;196;-0.66%;5.98;201.35;-41%
7;ОГК-2 ао;OGKB;4.15%;0.5435;-2.02%;36.41;60.10;+270%
8;РСетиЦП ао;MRKP;4.07%;0.3183;-1.3%;15.76;35.94;+233%
9;РСетиМР ао;MSRS;3.69%;1.2675;-0.78%;10.57;61.66;+89%
10;ТГК-1;TGKA;3.43%;0.00959;-2.84%;75.28;36.96;+225%
11;ЭЛ5Энер ао;ELFV;3.03%;0.6492;-2.64%;47.88;23.03;+271%
12;РоссЦентр;MRKC;2.95%;0.5844;-1.81%;15.94;24.55;+144%
13;Россети Ур;MRKU;2.43%;0.3962;-1.15%;5.23;34.67;-93%
14;ДЭК ао;DVEC;1.72%;3.27;-2.97%;12.49;56.41;-29%
15;ТГК-2;TGKB;1.72%;0.011225;-3.77%;21.09;16.58;+515%
16;РсетВол ао;MRKV;1.21%;0.0546;+0.46%;15.97;10.28;+417%
17;РСетиСЗ ао;MRKZ;1.14%;0.09175;-4.23%;10.32;8.73;+0%
