id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;ГМКНорНик;GMKN;16.3%;17184;+0.51%;338.70;2 629.56;+43%
2;Полюс;PLZL;15.09%;11197;-0.07%;86.40;1 525.61;-29%
3;РУСАЛ ао;RUAL;11.69%;37.88;-0.25%;113.97;575.66;+171%
4;СевСт-ао;CHMF;11.41%;1304;-1%;245.40;1 094.06;+149%
5;НЛМК ао;NLMK;10.32%;178.6;-1.97%;515.09;1 070.51;+145%
6;ММК;MAGN;7.83%;51.87;+0.46%;90.25;579.84;+59%
7;АЛРОСА ао;ALRS;7.43%;66.2;+0.29%;111.10;487.19;-19%
8;ЭН+ГРУП ао;ENPG;4.79%;470;-1.47%;36.23;301.15;-60%
9;Мечел ао;MTLR;3.72%;301.5;-2.6%;2 996.16;175.46;+50%
10;ВСМПО-АВСМ;VSMO;3.67%;34160;-3.77%;35.50;392.70;+69%
11;Мечел ап;MTLR;2.7%;358.6;-1.66%;453.41;175.46;-30%
12;Селигдар;SELG;2.11%;68.95;-2.3%;117.34;71.07;+119%
13;Polymetal;POLY;1.55%;424.4;+7.31%;1 150.06;219.35;-23%
14;Распадская;RASP;1.39%;373.55;-1.7%;206.19;249.52;+134%
