id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;ЛУКОЙЛ;LKOH;15.56%;7320;+0.34%;1 145.65;5 072.12;+32%
2;Роснефть;ROSN;15.17%;582.65;+0.66%;352.84;6 177.68;+17%
3;ГАЗПРОМ ао;GAZP;13.53%;164.29;-0.25%;1 082.62;3 891.93;+143%
4;Татнфт 3ао;TATN;13.51%;647.7;-0.05%;474.39;1 507.79;+85%
5;Новатэк ао;NVTK;13.1%;1515.8;+0.12%;156.66;4 610.93;-21%
6;Сургнфгз;SNGS;8.68%;31.98;-0.25%;53.22;1 592.32;-36%
7;Сургнфгз-п;SNGS;7.12%;58.48;-0.1%;191.13;1 592.32;-29%
8;Транснф ап;TRNFP;5.44%;146350;+0.69%;354.56;227.71;+406%
9;Башнефт ап;BANE;4.26%;1769.5;+1.23%;185.19;407.57;+36%
10;Татнфт 3ап;TATN;2.5%;646.3;-0.25%;82.47;1 507.79;-11%
11;РуссНфт ао;RNFT;1.12%;156.1;-0.06%;27.22;45.88;-3%
