id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;ЛУКОЙЛ;LKOH;15.98%;7320;+0.34%;1 125.99;5 071.78;+36%
2;Сбербанк;SBER;13.2%;288.1;+0.44%;4 153.33;6 505.37;+95%
3;ГАЗПРОМ ао;GAZP;11.6%;164.25;-0.28%;1 063.65;3 891.69;+143%
4;ГМКНорНик;GMKN;7.19%;17194;+0.57%;336.38;2 629.25;+46%
5;Татнфт 3ао;TATN;5.35%;646.4;-0.25%;453.29;1 507.33;+159%
6;Новатэк ао;NVTK;3.45%;1515;+0.07%;155.03;4 610.93;-19%
7;Сургнфгз;SNGS;3.44%;31.965;-0.3%;52.76;1 592.36;-30%
8;Сургнфгз-п;SNGS;2.82%;58.475;-0.11%;189.90;1 592.36;-23%
9;Сбербанк-п;SBER;2.55%;287.8;+0.5%;290.51;6 505.37;+68%
10;Полюс;PLZL;2.4%;11203;-0.02%;85.86;1 524.39;-24%
11;Роснефть;ROSN;2.4%;582.7;+0.67%;348.87;6 173.97;+18%
12;РУСАЛ ао;RUAL;1.86%;37.85;-0.33%;113.84;575.51;+174%
13;ПИК ао;PIKK;1.82%;704.5;-0.18%;32.65;468.03;+42%
14;СевСт-ао;CHMF;1.81%;1305.6;-0.88%;231.19;1 095.23;+151%
15;Магнит ао;MGNT;1.7%;6316.5;-0.1%;1 830.20;643.88;-36%
16;ИнтерРАОао;IRAO;1.65%;4.238;+0.21%;62.01;442.55;+50%
17;НЛМК ао;NLMK;1.64%;178.76;-1.88%;496.43;1 070.99;+157%
18;Yandex clA;YNDX;1.48%;2623.8;+1.13%;566.98;855.28;+68%
19;ММК;MAGN;1.24%;51.87;+0.46%;90.08;579.84;+74%
20;АЛРОСА ао;ALRS;1.18%;66.22;+0.32%;108.80;487.63;-12%
21;МТС-ао;MTSS;1.15%;262.05;-0.3%;169.77;524.58;-14%
22;МосБиржа;MOEX;1.07%;207.92;+1.24%;594.21;473.38;+292%
23;ВТБ ао;VTBR;1.01%;0.02483;-0.06%;314.07;1 187.97;-46%
24;Татнфт 3ап;TATN;0.99%;645.7;-0.34%;80.24;1 507.33;+94%
25;Ростел -ао;RTKM;0.96%;81.25;+0.46%;95.20;283.04;+183%
26;AGRO-гдр;AGRO;0.91%;1486.8;-0.92%;85.12;200.13;-75%
27;OZON-адр;OZON;0.89%;2867;-0.97%;192.86;583.69;-38%
28;ФосАгро ао;PHOR;0.81%;6736;-0.28%;36.63;873.22;-39%
29;ЭН+ГРУП ао;ENPG;0.76%;470.2;-1.43%;35.87;301.28;-60%
30;TCS-гдр;TCSG;0.72%;3446.5;-0.65%;244.19;686.69;-12%
31;МКБ ао;CBOM;0.7%;7.654;-0.14%;26.01;255.87;-28%
32;Транснф ап;TRNFP;0.6%;146400;+0.72%;347.53;227.63;+433%
33;Система ао;AFKS;0.55%;16.647;-0.17%;53.24;160.20;-48%
34;Аэрофлот;AFLT;0.54%;38.29;-0.57%;45.70;152.47;-47%
35;Россети;FEES;0.48%;0.1164;-1.34%;189.69;245.41;+711%
36;FIVE-гдр;FIVE;0.43%;2174;-0.23%;61.32;590.53;+28%
37;"МКПАО ""ВК""";VKCO;0.4%;618.2;-1.28%;374.68;140.96;+97%
38;Селигдар;SELG;0.34%;68.95;-2.3%;117.04;71.07;+121%
39;iПозитив;POSI;0.33%;2143.4;-0.2%;49.62;141.46;-30%
40;Юнипро ао;UPRO;0.31%;2.147;-1.24%;91.38;136.06;+160%
41;iQIWI;QIWI;0.3%;545.5;-1.27%;6.97;34.21;-51%
42;РусГидро;HYDR;0.28%;0.8126;+2.39%;175.84;359.39;+1322%
43;Сегежа;SGZH;0.25%;3.908;-0.81%;438.61;61.43;-31%
44;Polymetal;POLY;0.25%;422.8;+6.9%;1 131.10;220.53;-22%
45;GLTR-гдр;GLTR;0.22%;620.65;+0.4%;39.63;110.98;+259%
