id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;ЛУКОЙЛ;LKOH;15.98%;7318.5;+0.32%;1 130.67;5 073.51;+31%
2;Сбербанк;SBER;13.2%;288.16;+0.46%;4 174.02;6 506.23;+87%
3;ГАЗПРОМ ао;GAZP;11.6%;164.27;-0.27%;1 072.18;3 891.45;+141%
4;ГМКНорНик;GMKN;7.19%;17190;+0.55%;336.99;2 629.25;+42%
5;Татнфт 3ао;TATN;5.35%;647.6;-0.06%;472.87;1 507.36;+84%
6;Новатэк ао;NVTK;3.45%;1515.4;+0.09%;155.43;4 610.93;-22%
7;Сургнфгз;SNGS;3.44%;31.965;-0.3%;52.76;1 593.04;-36%
8;Сургнфгз-п;SNGS;2.82%;58.46;-0.14%;190.09;1 593.04;-30%
9;Сбербанк-п;SBER;2.55%;287.88;+0.52%;290.65;6 506.23;+61%
10;Полюс;PLZL;2.4%;11203.5;-0.01%;85.91;1 525.47;-29%
11;Роснефть;ROSN;2.4%;582.75;+0.67%;350.13;6 176.09;+16%
12;РУСАЛ ао;RUAL;1.86%;37.88;-0.25%;113.84;575.51;+170%
13;ПИК ао;PIKK;1.82%;706.3;+0.07%;35.16;468.03;+41%
14;СевСт-ао;CHMF;1.81%;1306;-0.85%;232.00;1 095.23;+136%
15;Магнит ао;MGNT;1.7%;6330;+0.11%;1 856.36;643.93;-39%
16;ИнтерРАОао;IRAO;1.65%;4.2375;+0.2%;62.29;442.55;+46%
17;НЛМК ао;NLMK;1.64%;178.62;-1.95%;508.15;1 070.75;+142%
18;Yandex clA;YNDX;1.48%;2622.6;+1.08%;571.41;855.02;+68%
19;ММК;MAGN;1.24%;51.885;+0.48%;90.10;579.89;+59%
20;АЛРОСА ао;ALRS;1.18%;66.22;+0.32%;110.08;487.41;-19%
21;МТС-ао;MTSS;1.15%;261.9;-0.36%;171.10;524.58;-15%
22;МосБиржа;MOEX;1.07%;207.92;+1.24%;595.33;473.38;+285%
23;ВТБ ао;VTBR;1.01%;0.02484;-0.02%;318.22;1 188.11;-46%
24;Татнфт 3ап;TATN;0.99%;646;-0.29%;80.63;1 507.36;-13%
25;Ростел -ао;RTKM;0.96%;81.24;+0.45%;95.31;283.00;+160%
26;AGRO-гдр;AGRO;0.91%;1486.4;-0.95%;85.14;200.02;-75%
27;OZON-адр;OZON;0.89%;2866.5;-0.98%;192.92;584.09;-39%
28;ФосАгро ао;PHOR;0.81%;6736;-0.28%;41.36;873.22;-35%
29;ЭН+ГРУП ао;ENPG;0.76%;470;-1.47%;36.16;301.28;-60%
30;TCS-гдр;TCSG;0.72%;3446.5;-0.65%;246.88;686.89;-13%
31;МКБ ао;CBOM;0.7%;7.651;-0.18%;26.13;255.87;-30%
32;Транснф ап;TRNFP;0.6%;146350;+0.69%;353.39;227.63;+405%
33;Система ао;AFKS;0.55%;16.63;-0.27%;53.26;160.19;-49%
34;Аэрофлот;AFLT;0.54%;38.26;-0.65%;46.86;152.55;-46%
35;Россети;FEES;0.48%;0.11632;-1.41%;189.84;245.41;+687%
36;FIVE-гдр;FIVE;0.43%;2174;-0.23%;61.42;590.40;+25%
37;"МКПАО ""ВК""";VKCO;0.4%;618.4;-1.25%;375.46;140.92;+89%
38;Селигдар;SELG;0.34%;68.95;-2.3%;117.10;71.04;+119%
39;iПозитив;POSI;0.33%;2146.4;-0.07%;54.00;141.50;-31%
40;Юнипро ао;UPRO;0.31%;2.148;-1.2%;92.16;136.19;+152%
41;iQIWI;QIWI;0.3%;546;-1.18%;6.99;34.21;-52%
42;РусГидро;HYDR;0.28%;0.8121;+2.33%;175.88;360.10;+694%
43;Polymetal;POLY;0.25%;423.3;+7.03%;1 139.62;219.71;-24%
44;Сегежа;SGZH;0.25%;3.9;-1.02%;440.59;61.36;-36%
45;GLTR-гдр;GLTR;0.22%;620.65;+0.4%;39.94;110.94;+237%
