id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;Куйбазот;KAZT;28.05%;708;+2.08%;18.88;169.63;+389%
2;ФосАгро ао;PHOR;25.42%;6734;-0.31%;42.23;873.74;-34%
3;Акрон;AKRN;15.51%;18830;-0.53%;2.86;692.14;-28%
4;ОргСинт ао;KZOS;15.05%;107.8;-3.84%;15.05;195.40;+1570%
5;НКНХ ао;NKNC;8.66%;106.7;-5.99%;27.22;190.57;+1396%
6;НКНХ ап;NKNC;5.82%;77;-2.7%;20.74;190.57;+381%
7;ОргСинт ап;KZOS;1.49%;26.3;-4.92%;10.98;195.40;+685%
