id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;ЛУКОЙЛ;LKOH;16.01%;7320;+0.34%;1 125.99;5 071.78;+36%
2;Сбербанк;SBER;12.86%;288.1;+0.44%;4 153.33;6 505.37;+95%
3;ГАЗПРОМ ао;GAZP;11.3%;164.25;-0.28%;1 063.65;3 891.69;+143%
4;ГМКНорНик;GMKN;7%;17194;+0.57%;336.38;2 629.25;+46%
5;Татнфт 3ао;TATN;5.21%;646.4;-0.25%;453.29;1 507.33;+159%
6;Сургнфгз;SNGS;2.89%;31.965;-0.3%;52.76;1 592.36;-30%
7;Новатэк ао;NVTK;2.8%;1515;+0.07%;155.03;4 610.93;-19%
8;Сбербанк-п;SBER;2.48%;287.8;+0.5%;290.51;6 505.37;+68%
9;Сургнфгз-п;SNGS;2.38%;58.475;-0.11%;189.90;1 592.36;-23%
10;Полюс;PLZL;1.95%;11203;-0.02%;85.86;1 524.39;-24%
11;Роснефть;ROSN;1.95%;582.7;+0.67%;348.87;6 173.97;+18%
12;РУСАЛ ао;RUAL;1.51%;37.85;-0.33%;113.84;575.51;+174%
13;ПИК ао;PIKK;1.48%;704.5;-0.18%;32.65;468.03;+42%
14;СевСт-ао;CHMF;1.47%;1305.6;-0.88%;231.19;1 095.23;+151%
15;Магнит ао;MGNT;1.38%;6316.5;-0.1%;1 830.20;643.88;-36%
16;ИнтерРАОао;IRAO;1.34%;4.238;+0.21%;62.01;442.55;+50%
17;НЛМК ао;NLMK;1.33%;178.76;-1.88%;496.43;1 070.99;+157%
18;Yandex clA;YNDX;1.2%;2623.8;+1.13%;566.98;855.28;+68%
19;ММК;MAGN;1.01%;51.87;+0.46%;90.08;579.84;+74%
20;Татнфт 3ап;TATN;0.97%;645.7;-0.34%;80.24;1 507.33;+94%
21;АЛРОСА ао;ALRS;0.96%;66.22;+0.32%;108.80;487.63;-12%
22;МТС-ао;MTSS;0.93%;262.05;-0.3%;169.77;524.58;-14%
23;МосБиржа;MOEX;0.87%;207.92;+1.24%;594.21;473.38;+292%
24;ВТБ ао;VTBR;0.82%;0.02483;-0.06%;314.07;1 187.97;-46%
