id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;МТС-ао;MTSS;37.04%;262.55;-0.11%;180.77;525.37;-11%
2;Ростел -ао;RTKM;35.32%;81.23;+0.43%;96.51;283.00;+163%
3;МГТС-4ап;MGTS;15.74%;1528;-0.78%;2.02;174.42;+61%
4;Ростел -ап;RTKM;7.19%;76.6;+0.72%;124.36;283.00;+91%
5;Таттел. ао;TTLK;4.7%;1.06;-2.75%;9.16;22.21;+325%
