id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;iПозитив;POSI;25.55%;2144.8;-0.14%;55.14;141.37;-30%
2;iАвиастКао;UNAC;25.32%;1.395;-0.29%;19.89;742.65;-74%
3;iQIWI;QIWI;23.83%;546;-1.18%;8.39;34.30;-42%
4;iHHRU-адр;HHR;15.74%;3580;-0.56%;14.64;180.94;-14%
5;iВУШХолднг;WUSH;3.69%;235.99;-0.76%;81.40;26.30;+1%
6;iАРТГЕН ао;ISKJ;2.88%;96.08;-0.95%;6.29;8.86;-16%
7;iФармсинтз;LIFE;0.91%;4.855;-2.9%;37.12;2.13;+28%
8;iГЕНЕТИКО;GECO;0.85%;45.92;-0.58%;10.81;3.76;-61%
9;iНПОНаука;NAUK;0.6%;589;-3.44%;4.11;6.94;+102%
10;iНаукаСвяз;NSVZ;0.36%;574.5;+4.17%;38.05;8.93;+152%
11;iММЦБ ао;GEMA;0.27%;1031;+0.24%;0.47;1.54;+1482%
