id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;iHHRU-адр;HHR;9%;3595;-0.14%;14.42;180.89;-16%
2;Polymetal;POLY;6.95%;424.4;+7.31%;1 150.06;219.35;-23%
3;Ростел -ао;RTKM;6.53%;81.24;+0.45%;95.63;283.00;+161%
4;"МКПАО ""ВК""";VKCO;5.83%;618.2;-1.28%;376.87;140.96;+89%
5;GLTR-гдр;GLTR;4.69%;620.3;+0.35%;39.96;110.94;+237%
6;Мечел ао;MTLR;4.68%;301.5;-2.6%;2 996.16;175.46;+50%
7;Система ао;AFKS;4.45%;16.624;-0.31%;53.31;160.19;-49%
8;AGRO-гдр;AGRO;4.41%;1486.8;-0.92%;85.19;199.97;-75%
9;Совкомфлот;FLOT;4.22%;131.11;+1.55%;561.55;312.12;+495%
10;Россети;FEES;3.9%;0.1164;-1.34%;189.99;245.58;+687%
11;Аэрофлот;AFLT;3.27%;38.27;-0.62%;46.94;152.47;-46%
12;БСП ао;BSPB;2.91%;236.8;-2.15%;241.16;110.72;-10%
13;GEMC-гдр;GEMC;2.87%;835;-0.71%;5.28;75.15;-54%
14;Мечел ап;MTLR;2.55%;358.6;-1.66%;453.41;175.46;-30%
15;Самолет ао;SMLT;2.12%;3987.5;-0.13%;77.96;245.39;-18%
16;+МосЭнерго;MSNG;2.09%;3.05;+0.54%;10.13;121.24;+17%
17;Юнипро ао;UPRO;1.9%;2.147;-1.24%;92.65;136.06;+154%
18;НоваБев ао;BELU;1.81%;5508;-0.31%;93.41;87.15;+10%
19;ДВМП ао;FESH;1.71%;80.99;-3.39%;264.77;238.93;+171%
20;MDMG-гдр;MDMG;1.67%;812;+0.37%;4.36;61.00;+96%
21;Селигдар;SELG;1.62%;68.95;-2.3%;117.34;71.07;+119%
22;iПозитив;POSI;1.58%;2145.4;-0.11%;54.51;141.50;-31%
23;Распадская;RASP;1.52%;373.55;-1.7%;206.19;249.52;+134%
24;Лента ао;LENT;1.49%;712;-0.14%;2.19;82.52;+3%
25;ЛСР ао;LSRG;1.49%;663.2;-1.34%;12.90;67.86;-18%
26;iQIWI;QIWI;1.47%;547.5;-0.9%;8.37;34.24;-42%
27;ETLN-гдр;ETLN;1.36%;79.48;-1.49%;20.91;30.48;-22%
28;Сегежа;SGZH;1.32%;3.9;-1.02%;441.84;61.35;-36%
29;CIAN-адр;CIAN;1.29%;672.4;-3%;36.35;47.96;+513%
30;ОГК-2 ао;OGKB;1%;0.5434;-2.04%;36.37;60.09;+270%
31;ИНАРКТИКА;AQUA;1%;945;+0.16%;32.25;82.91;-7%
32;Ростел -ап;RTKM;0.93%;76.6;+0.72%;123.08;283.00;+89%
33;Ренессанс;RENI;0.93%;95.62;-1.42%;54.11;53.30;+81%
34;РСетиЦП ао;MRKP;0.84%;0.3184;-1.27%;15.71;35.95;+232%
35;РоссЦентр;MRKC;0.71%;0.5836;-1.95%;15.91;24.55;+143%
36;М.видео;MVID;0.67%;177.5;-1.83%;41.91;31.94;+195%
37;ЭЛ5Энер ао;ELFV;0.63%;0.6492;-2.64%;47.82;23.03;+271%
38;ТГК-1;TGKA;0.62%;0.009594;-2.8%;75.26;37.01;+224%
39;РуссНфт ао;RNFT;0.6%;156;-0.13%;26.70;45.79;-5%
40;Аптеки36и6;APTK;0.57%;14.186;-1.28%;14.80;107.89;+113%
41;РСетиМР ао;MSRS;0.54%;1.266;-0.9%;10.54;61.76;+89%
