id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;Сургнфгз-п;SNGS;11.28%;58.46;-0.14%;190.09;1 593.04;-30%
2;Магнит ао;MGNT;11.01%;6330;+0.11%;1 856.36;643.93;-39%
3;Сбербанк;SBER;10.54%;288.16;+0.46%;4 174.02;6 506.23;+87%
4;ЛУКОЙЛ;LKOH;10.54%;7318.5;+0.32%;1 130.67;5 073.51;+31%
5;Роснефть;ROSN;10.49%;582.75;+0.67%;350.13;6 176.09;+16%
6;Yandex clA;YNDX;10%;2622.6;+1.08%;571.41;855.02;+68%
7;ВТБ ао;VTBR;9.23%;0.02484;-0.02%;318.22;1 188.11;-46%
8;ГАЗПРОМ ао;GAZP;9.19%;164.27;-0.27%;1 072.18;3 891.45;+141%
9;МТС-ао;MTSS;9%;261.9;-0.36%;171.10;524.58;-15%
10;АЛРОСА ао;ALRS;8.71%;66.22;+0.32%;110.08;487.41;-19%
