id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;Совкомфлот;FLOT;27.35%;131.07;+1.52%;562.54;312.03;+496%
2;Аэрофлот;AFLT;24.24%;38.27;-0.62%;47.17;152.51;-45%
3;ДВМП ао;FESH;15.84%;80.98;-3.4%;266.71;238.90;+173%
4;НМТП ао;NMTP;15.73%;11.07;-2.04%;120.51;214.07;+378%
5;GLTR-гдр;GLTR;10.05%;619.8;+0.27%;40.92;110.87;+245%
6;НКХП ао;NKHP;6.79%;953.5;-4.65%;79.06;64.76;+3%
