id;ticker_rus;ticker;percent;last_price;percent_change;vol_mln_rub;cap_mlrd_rub;vol_change
1;МосБиржа;MOEX;18.1%;207.91;+1.23%;599.11;473.38;+287%
2;МКБ ао;CBOM;16.31%;7.652;-0.17%;27.13;255.84;-27%
3;TCS-гдр;TCSG;14.57%;3444.5;-0.71%;247.50;686.39;-13%
4;Сбербанк;SBER;13.71%;288.12;+0.44%;4 187.41;6 506.85;+87%
5;ВТБ ао;VTBR;13.14%;0.024845;0%;319.92;1 188.78;-46%
6;iQIWI;QIWI;7.07%;547;-1%;8.39;34.33;-42%
7;БСП ао;BSPB;6.97%;237.03;-2.05%;241.59;110.67;-9%
8;Ренессанс;RENI;4.46%;95.64;-1.4%;54.25;53.27;+81%
9;Сбербанк-п;SBER;2.64%;287.91;+0.53%;292.02;6 506.85;+61%
10;ЭсЭфАй ао;SFIN;2.34%;571.4;+1.42%;20.07;63.59;+66%
11;СПБ Биржа;SPBE;0.69%;87.8;-10.41%;1 148.96;11.53;+1313%
